id_desk,kode_satker,id_pengguna,link,keterangan,pjk,target_bulan,progress,created_at,updated_at,status
44,1100,1,https://drive.google.com/drive/folders/1XRk-Qnv454crmpEWM7ahVh1aKTVF2uXD?usp=drive_link,Tidak ada target,Perencanaan,,,,,
45,1100,1,https://drive.google.com/drive/folders/1iY0fxw3W0qw1wDia_ZpAilS2lxpoPdlw?usp=drive_link,Sesuai,Perencanaan,,,,,
46,1100,1,https://drive.google.com/drive/folders/1k_iuecJBoZDr0tJnnnDLA-bwizAguf4N?usp=drive_link,Tidak ada target,Perencanaan,,,,,
47,1100,1,https://drive.google.com/drive/folders/1HBL8C5vFmxUX2y8mz5BQ6lk0hDWMgWfo?usp=drive_link,Tidak ada target,Perencanaan,,,,,
48,1100,1,https://drive.google.com/drive/folders/12HJJJTFBHhKNnGXIFppm7mfrvCocqtLU?usp=drive_link,Tidak ada target,Perencanaan,,,,,
49,1100,1,https://drive.google.com/drive/folders/1d_Bjn9HVUSZnVTm_OCBu3l9RYbYxc3gZ?usp=drive_link,Tidak ada target,Perencanaan,,,,,
50,1100,1,https://drive.google.com/drive/folders/1BET2BKO5RuokqRW3NnFlzV0eHhPy-qpj?usp=drive_link,Tidak ada target,"Perencanaan &
Pilar II (SOP)",,,,,
51,1100,1,https://drive.google.com/drive/folders/1qt2-KoO6wzFyAGHUT9qOeThY2j0nCk55?usp=drive_link,"- Belum ada Laporan Pelaksanaan Pembinaan SAKIP 2025 beserta sertifikat;
- Belum ada update daftar kompetensi individu seluruh anggota tim SAKIP hingga 2025.",Perencanaan,,,,,
52,1100,1,https://drive.google.com/drive/folders/1qJxk9istdcwRbOn3VtDg6Xbpzaxy2ApN?usp=drive_link,Belum terdapat realisasi dan bukti dukung realisasi,"Humas, Admin Medsos & PST",,,,,
53,1100,1,,Belum terdapat realisasi dan bukti dukung realisasi,"Humas, Admin Medsos & PST",,,,,
54,1100,1,,,Sub Pilar Gratifikasi,,,,,
55,1100,1,https://drive.google.com/drive/folders/1WGhFU1s7fpeH5ix3GHXZc4wsfX2uJ4JD?usp=drive_link,,Sub Pilar Gratifikasi,,,,,
56,1100,1,,,Sub Pilar Gratifikasi,,,,,
57,1100,1,,,Sub Pilar Gratifikasi,,,,,
58,1100,1,https://drive.google.com/drive/folders/1VpiHeatOuKNa6FJMhK4qz8iKpKfsgShV?usp=drive_link,,Sub Pilar SPIP,,,,,
59,1100,1,,,Sub Pilar SPIP,,,,,
60,1100,1,,,Sub Pilar SPIP,,,,,
61,1100,1,,,Sub Pilar SPIP,,,,,
62,1100,1,https://drive.google.com/drive/folders/1VpsMztrZ-Km2SQ_dSTZGjewqgV1lf8na?usp=drive_link,,Sub Pilar MR,,,,,
63,1100,1,,,Sub Pilar MR,,,,,
64,1100,1,https://drive.google.com/drive/folders/1cIUpMNwf-5a7PonqqBzI-2Xul3w2O1Dv?usp=drive_link,,Sub Pilar MR,,,,,
